year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2017,3,Bahrain Grand Prix,bahrain,wehrlein,WEH,sauber,13,1:31.995,1:31.414,
2017,3,Bahrain Grand Prix,bahrain,ocon,OCO,force_india,14,1:31.774,1:31.684,
2017,3,Bahrain Grand Prix,bahrain,alonso,ALO,mclaren,15,1:32.054,,
2017,3,Bahrain Grand Prix,bahrain,sainz,SAI,toro_rosso,16,1:32.118,,
2017,3,Bahrain Grand Prix,bahrain,vandoorne,VAN,mclaren,17,1:32.313,,
2017,3,Bahrain Grand Prix,bahrain,perez,PER,force_india,18,1:32.318,,
2017,3,Bahrain Grand Prix,bahrain,ericsson,ERI,sauber,19,1:32.543,,
2017,3,Bahrain Grand Prix,bahrain,kevin_magnussen,MAG,haas,20,1:32.900,,
2017,4,Russian Grand Prix,sochi,vettel,VET,ferrari,1,1:34.493,1:34.038,1:33.194
2017,4,Russian Grand Prix,sochi,raikkonen,RAI,ferrari,2,1:34.953,1:33.663,1:33.253
2017,4,Russian Grand Prix,sochi,bottas,BOT,mercedes,3,1:34.041,1:33.264,1:33.289
2017,4,Russian Grand Prix,sochi,hamilton,HAM,mercedes,4,1:34.409,1:33.760,1:33.767
2017,4,Russian Grand Prix,sochi,ricciardo,RIC,red_bull,5,1:35.560,1:35.483,1:34.905
2017,4,Russian Grand Prix,sochi,massa,MAS,williams,6,1:35.828,1:35.049,1:35.110
2017,4,Russian Grand Prix,sochi,max_verstappen,VER,red_bull,7,1:35.301,1:35.221,1:35.161
2017,4,Russian Grand Prix,sochi,hulkenberg,HUL,renault,8,1:35.507,1:35.328,1:35.285
2017,4,Russian Grand Prix,sochi,perez,PER,force_india,9,1:36.185,1:35.513,1:35.337
2017,4,Russian Grand Prix,sochi,ocon,OCO,force_india,10,1:35.372,1:35.729,1:35.430
2017,4,Russian Grand Prix,sochi,sainz,SAI,toro_rosso,11,1:35.827,1:35.948,
2017,4,Russian Grand Prix,sochi,stroll,STR,williams,12,1:36.279,1:35.964,
2017,4,Russian Grand Prix,sochi,kvyat,KVY,toro_rosso,13,1:35.984,1:35.968,
2017,4,Russian Grand Prix,sochi,kevin_magnussen,MAG,haas,14,1:36.408,1:36.017,
2017,4,Russian Grand Prix,sochi,alonso,ALO,mclaren,15,1:36.353,1:36.660,
2017,4,Russian Grand Prix,sochi,jolyon_palmer,PAL,renault,16,1:36.462,,
2017,4,Russian Grand Prix,sochi,vandoorne,VAN,mclaren,17,1:37.070,,
2017,4,Russian Grand Prix,sochi,wehrlein,WEH,sauber,18,1:37.332,,
2017,4,Russian Grand Prix,sochi,ericsson,ERI,sauber,19,1:37.507,,
2017,4,Russian Grand Prix,sochi,grosjean,GRO,haas,20,1:37.620,,
2017,5,Spanish Grand Prix,catalunya,hamilton,HAM,mercedes,1,1:20.511,1:20.210,1:19.149
2017,5,Spanish Grand Prix,catalunya,vettel,VET,ferrari,2,1:20.939,1:20.295,1:19.200
2017,5,Spanish Grand Prix,catalunya,bottas,BOT,mercedes,3,1:20.991,1:20.300,1:19.373
2017,5,Spanish Grand Prix,catalunya,raikkonen,RAI,ferrari,4,1:20.742,1:20.621,1:19.439
2017,5,Spanish Grand Prix,catalunya,max_verstappen,VER,red_bull,5,1:21.430,1:20.722,1:19.706
2017,5,Spanish Grand Prix,catalunya,ricciardo,RIC,red_bull,6,1:21.704,1:20.855,1:20.175
2017,5,Spanish Grand Prix,catalunya,alonso,ALO,mclaren,7,1:22.015,1:21.251,1:21.048
2017,5,Spanish Grand Prix,catalunya,perez,PER,force_india,8,1:21.998,1:21.239,1:21.070
2017,5,Spanish Grand Prix,catalunya,massa,MAS,williams,9,1:22.138,1:21.222,1:21.232
2017,5,Spanish Grand Prix,catalunya,ocon,OCO,force_india,10,1:21.901,1:21.148,1:21.272
2017,5,Spanish Grand Prix,catalunya,kevin_magnussen,MAG,haas,11,1:21.945,1:21.329,
2017,5,Spanish Grand Prix,catalunya,sainz,SAI,toro_rosso,12,1:21.941,1:21.371,
2017,5,Spanish Grand Prix,catalunya,hulkenberg,HUL,renault,13,1:22.091,1:21.397,
2017,5,Spanish Grand Prix,catalunya,grosjean,GRO,haas,14,1:21.822,1:21.517,
2017,5,Spanish Grand Prix,catalunya,wehrlein,WEH,sauber,15,1:22.327,1:21.803,
2017,5,Spanish Grand Prix,catalunya,ericsson,ERI,sauber,16,1:22.332,,
2017,5,Spanish Grand Prix,catalunya,jolyon_palmer,PAL,renault,17,1:22.401,,
2017,5,Spanish Grand Prix,catalunya,stroll,STR,williams,18,1:22.411,,
2017,5,Spanish Grand Prix,catalunya,vandoorne,VAN,mclaren,19,1:22.532,,
2017,5,Spanish Grand Prix,catalunya,kvyat,KVY,toro_rosso,20,1:22.746,,
2018,1,Australian Grand Prix,albert_park,hamilton,HAM,mercedes,1,1:22.824,1:22.051,1:21.164
2018,1,Australian Grand Prix,albert_park,raikkonen,RAI,ferrari,2,1:23.096,1:22.507,1:21.828
2018,1,Australian Grand Prix,albert_park,vettel,VET,ferrari,3,1:23.348,1:21.944,1:21.838
2018,1,Australian Grand Prix,albert_park,max_verstappen,VER,red_bull,4,1:23.483,1:22.416,1:21.879
2018,1,Australian Grand Prix,albert_park,ricciardo,RIC,red_bull,5,1:23.494,1:22.897,1:22.152
